query_loan_id,query_path,match_loan_id,match_path,rank,cosine_similarity,risk_level
loan_001,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,loan_049,D:\GitHub\jinchuang\data\loan_049\face_signing.jpg,1,0.9409356117248535,medium
loan_001,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,loan_004,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,2,0.9380770921707153,medium
loan_001,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,loan_002,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,3,0.9370507001876831,medium
loan_001,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,loan_057,D:\GitHub\jinchuang\data\loan_057\face_signing.jpg,4,0.916311502456665,low
loan_001,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,loan_016,D:\GitHub\jinchuang\data\loan_016\face_signing.jpg,5,0.9159216284751892,low
loan_002,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,loan_049,D:\GitHub\jinchuang\data\loan_049\face_signing.jpg,1,0.9753117561340332,high
loan_002,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,loan_004,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,2,0.9545403122901917,medium
loan_002,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,loan_001,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,3,0.9370507001876831,medium
loan_002,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,loan_010,D:\GitHub\jinchuang\data\loan_010\face_signing.jpg,4,0.9223650693893433,low
loan_002,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,loan_034,D:\GitHub\jinchuang\data\loan_034\face_signing.jpg,5,0.9143173694610596,low
loan_003,D:\GitHub\jinchuang\data\loan_003\face_signing.jpg,loan_005,D:\GitHub\jinchuang\data\loan_005\face_signing.jpg,1,0.9633506536483765,medium
loan_003,D:\GitHub\jinchuang\data\loan_003\face_signing.jpg,loan_008,D:\GitHub\jinchuang\data\loan_008\face_signing.jpg,2,0.9527281522750854,medium
loan_003,D:\GitHub\jinchuang\data\loan_003\face_signing.jpg,loan_011,D:\GitHub\jinchuang\data\loan_011\face_signing.jpg,3,0.9526362419128418,medium
loan_003,D:\GitHub\jinchuang\data\loan_003\face_signing.jpg,loan_009,D:\GitHub\jinchuang\data\loan_009\face_signing.jpg,4,0.9510424137115479,medium
loan_003,D:\GitHub\jinchuang\data\loan_003\face_signing.jpg,loan_050,D:\GitHub\jinchuang\data\loan_050\face_signing.jpg,5,0.9503738284111023,medium
loan_004,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,loan_002,D:\GitHub\jinchuang\data\loan_002\face_signing.jpg,1,0.9545403122901917,medium
loan_004,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,loan_049,D:\GitHub\jinchuang\data\loan_049\face_signing.jpg,2,0.9520626664161682,medium
loan_004,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,loan_001,D:\GitHub\jinchuang\data\loan_001\face_signing.jpg,3,0.9380770921707153,medium
loan_004,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,loan_038,D:\GitHub\jinchuang\data\loan_038\face_signing.jpg,4,0.9306653141975403,medium
loan_004,D:\GitHub\jinchuang\data\loan_004\face_signing.jpg,loan_030,D:\GitHub\jinchuang\data\loan_030\face_signing.jpg,5,0.9288516640663147,low
loan_005,D:\GitHub\jinchuang\data\loan_005\face_signing.jpg,loan_050,D:\GitHub\jinchuang\data\loan_050\face_signing.jpg,1,0.9747556447982788,high
loan_005,D:\GitHub\jinchuang\data\loan_005\face_signing.jpg,loan_003,D:\GitHub\jinchuang\data\loan_003\face_signing.jpg,2,0.9633506536483765,medium
