face_threshold,similar_precision,similar_recall,similar_f1,similar_tp,similar_fp,similar_fn,cross_fraud_precision,cross_fraud_recall,cross_fraud_f1,cross_fraud_tp,cross_fraud_fp,cross_fraud_fn
0.98,0.40869071286566316,0.7882771843330595,0.5382960815486767,2878,4164,773,0.3870014771048744,0.7886815171583383,0.5192231470471661,2620,4150,702
0.985,0.4267386900742741,0.692413037523966,0.528041775456919,2528,3396,1123,0.40334212840809147,0.6902468392534618,0.5091595425779949,2293,3392,1029
0.99,0.4763199637434852,0.5757326759791838,0.5213293650793651,2102,2311,1549,0.4534058656575213,0.5770620108368453,0.5078145695364238,1917,2311,1405
0.995,0.5591026747195859,0.35497124075595726,0.43424359189143913,1296,1022,2355,0.5311926605504587,0.3485851896447923,0.42093784078516905,1158,1022,2164
0.998,0.5503355704697986,0.22459600109559025,0.3190040848084031,820,670,2831,0.5227920227920227,0.2209512341962673,0.31062209056284384,734,670,2588
