dataset_loan_id,customer_id_hash,status
loan_001,29f7834c007220632caa6ebf042f5669cb1ce7cb9538edaea85bf1e2cf18860d,matched_format_only
loan_002,a497baa84c1856224c6585ef54a2a51e915066449a6f91fe9756292880eeb16a,matched_format_only
loan_003,3d84a8fdf3089439635f359d6a8aacfee62019a6ed7831d05f9e4ab3153f3986,matched_format_only
loan_004,5eacc95a1a0683e1d157ee69dbec3077e2047fe5e26898f802d5162049f7bbc7,matched_format_only
loan_005,f697d943bf13db68070e6df84b8fd19d24f332a3a8b6bde75467f5d2c81cfa2c,matched_format_only
loan_006,b6c526b7d887e6e7876e3b1be9d7453cb9a95c810b28a8c18a05e9d96dc4b57f,matched_format_only
loan_007,e8ebc447b09b765d1d7b1a333153b82617bc678a21524b3a5d056fd82bc19880,matched
loan_008,dcba35a29ef7256c3c5779fe213be248070801fde16cea69acb377bbcbaf4782,matched_format_only
loan_009,a4bf3f901b79bf0a77a4a51a093e10bd1cb986c67d80dd7be466c8158c1f1034,matched_format_only
loan_010,b7068eb8000673f324a096edbcc588b87d9bd330d6618ba6decbfe97b6ce71c3,matched_format_only
loan_011,16a520f7e0f76fa4c8a4b6685cdd6db63d638f881ab5453b8b9ba2bbaa1fa691,matched_format_only
loan_012,02d0606a5b11596ce71324a9cdb134591424c933c69c10c980515eeb80018bd1,matched_format_only
loan_013,9701f8b606b1f152a629335e4481e7d7f676da2f7d59e7f08fcc39b4c6abb6b2,matched_format_only
loan_014,9291cb2e80e05443c364aa58f697f14842af5a4460f3337b9214b8aad0676352,matched
loan_015,969809af029a976dbf3e812c81facd4f3434db0c310b459813d527a91457986a,matched
loan_016,79d3e33a18205f3a822bfa5653d6f932342fd4cb30d5190111b20635f85b9319,matched_format_only
loan_017,daeb2f078bedfd64d6fdeaad879b1b1e893782e9e77f5945fc62fc4248150b3a,matched_format_only
loan_018,2a773afa906b955a74422c2171e79f32292a540ec94a8e5ee206c3447a359e80,matched
loan_019,964a3073f6dbb99f579d4ff60088eb534946146b2f33100fea5afe40f96dad4b,matched_format_only
loan_020,a7847cf427f3f2214f6e2866d5f711042c950a5583b6ad8ae4a4cc7ee580cd8f,matched_format_only
loan_021,611456b531a5b5d070f4a579138324eb041221f35cc0d1accf6c2e6801d98ce4,matched
loan_022,e3c44dd66caf9d0344ac4ad6f6d7e364ce2dc6fab931b2c2af3b3754d3c272a6,matched_format_only
loan_023,82e132e41e8d6eb2b15834497d215ce7b068553e6a47231fa2bc5024bb2641e8,matched_format_only
loan_024,875862d9c048646f8fe3834c7f2a7fa4b2e7e7b4f3ff060a84959b85b2945c0a,matched_format_only
loan_025,f027bfcfa67344439b791f2318ae649f876cd3adfe47bcc36886f3566f32e735,matched_format_only
loan_026,8c5d72ba717d3433bd0fe59c3de13f15a5df8d4337660785ec2f4565909d180e,matched_format_only
